GEOID,NAME,median_income,total_units,owner_occupied,renter_occupied,total_renters,total_population,white_population,black_population,median_home_value,pct_owner_occupied,pct_renter_occupied,pct_cost_burdened,pct_minority
260650038021,Block Group 1; Census Tract 38.02; Ingham County; Michigan,33278,1011,178,833,833,1576,1045,112,253700,0.17606330365974282,0.8239366963402571,0.4177671068427371,0.33692893401015234
260650038022,Block Group 2; Census Tract 38.02; Ingham County; Michigan,38188,623,348,275,275,1088,769,52,118800,0.5585874799357945,0.44141252006420545,0.2727272727272727,0.2931985294117647
260650038023,Block Group 3; Census Tract 38.02; Ingham County; Michigan,68229,387,216,171,171,868,779,61,209400,0.5581395348837209,0.4418604651162791,0.4502923976608187,0.10253456221198154
260650039011,Block Group 1; Census Tract 39.01; Ingham County; Michigan,111528,905,560,345,345,2422,1617,316,440400,0.6187845303867403,0.3812154696132597,0.3739130434782609,0.3323699421965318
260650039021,Block Group 1; Census Tract 39.02; Ingham County; Michigan,65694,643,347,296,296,1403,1095,186,269700,0.5396578538102644,0.4603421461897356,0.08445945945945946,0.2195295794725588
260650039022,Block Group 2; Census Tract 39.02; Ingham County; Michigan,41345,597,162,435,435,1261,1002,191,224200,0.271356783919598,0.7286432160804021,0.42528735632183906,0.2053925455987312
260650039023,Block Group 3; Census Tract 39.02; Ingham County; Michigan,-666666666,418,112,306,306,1136,1043,32,271100,0.2679425837320574,0.7320574162679426,0.49019607843137253,0.08186619718309862
260650040001,Block Group 1; Census Tract 40; Ingham County; Michigan,161667,350,298,52,52,684,616,0,336000,0.8514285714285714,0.14857142857142858,0.3076923076923077,0.09941520467836262
260650040002,Block Group 2; Census Tract 40; Ingham County; Michigan,40781,575,151,424,424,965,923,0,220900,0.26260869565217393,0.7373913043478261,0.47641509433962265,0.04352331606217619
260650040003,Block Group 3; Census Tract 40; Ingham County; Michigan,13850,639,10,629,629,1416,1082,115,-666666666,0.01564945226917058,0.9843505477308294,0.5675675675675675,0.23587570621468923
260650040004,Block Group 4; Census Tract 40; Ingham County; Michigan,103214,208,159,49,49,503,487,0,326000,0.7644230769230769,0.23557692307692307,0.8571428571428571,0.031809145129224614
260650040005,Block Group 5; Census Tract 40; Ingham County; Michigan,148661,233,233,0,0,747,693,33,275900,1.0,0.0,0.0,0.07228915662650603
